; Format - name|args|return type

Kprintf|const char *format, ...|void
QueryIntrHandlerInfo|SceUID intr_code, SceUID sub_intr_code, PspIntrHandlerOptionParam *data|int
_sceKernelExitThread|void|void
_sceKernelReturnFromCallback|void|void
_sceKernelReturnFromTimerHandler|void|void
fdprintf|int fd, const char *format, ...|int
sceAtracDecodeData|int atracID, u16 *outSamples, int *outN, int *outEnd, int *outRemainFrame|int
sceAtracGetBitrate|int atracID, int *outBitrate|int
sceAtracGetMaxSample|int atracID, int *outMax|int
sceAtracGetNextSample|int atracID, int *outN|int
sceAtracGetRemainFrame|int atracID, int *outRemainFrame|int
sceAtracReleaseAtracID|int atracID|int
sceAtracSetDataAndGetID|void *buf, SceSize bufsize|int
sceAtracSetLoopNum|int atracID, int nloops|int
sceAudioChRelease|int channel|int
sceAudioChReserve|int channel, int samplecount, int format|int
sceAudioChangeChannelConfig|int channel, int format|int
sceAudioChangeChannelVolume|int channel, int leftvol, int rightvol|int
sceAudioGetChannelRestLen|int channel|int
sceAudioOutput|int channel, int vol, void *buf|int
sceAudioOutputBlocking|int channel, int vol, void *buf|int
sceAudioOutputPanned|int channel, int leftvol, int rightvol, void *buffer|int
sceAudioOutputPannedBlocking|int channel, int leftvol, int rightvol, void *buffer|int
sceAudioSetChannelDataLen|int channel, int samplecount|int
sceAudiocodecCheckNeedMem|unsigned long *Buffer, int Type|int
sceAudiocodecDecode|unsigned long *Buffer, int Type|int
sceAudiocodecGetEDRAM|unsigned long *Buffer, int Type|int
sceAudiocodecInit|unsigned long *Buffer, int Type|int
sceAudiocodecReleaseEDRAM|unsigned long *Buffer|int
sceChnnlsv_21BE78B4|pspChnnlsvContext2 *ctx|int
sceChnnlsv_850A7FA1|pspChnnlsvContext2 *ctx, unsigned char *data, int len|int
sceChnnlsv_ABFDFC8B|pspChnnlsvContext2 *ctx, int mode1, int mode2, unsigned char *hashkey, unsigned char *cipherkey|int
sceChnnlsv_C4C494F8|pspChnnlsvContext1 *ctx, unsigned char *hash, unsigned char *cryptkey|int
sceChnnlsv_E7833020|pspChnnlsvContext1 *ctx, int mode|int
sceChnnlsv_F21A1FCA|pspChnnlsvContext1 *ctx, unsigned char *data, int len|int
sceCtrlGetSamplingCycle|int *pcycle|int
sceCtrlGetSamplingMode|int *pmode|int
sceCtrlPeekBufferNegative|SceCtrlData *pad_data, int count|int
sceCtrlPeekBufferPositive|SceCtrlData *pad_data, int count|int
sceCtrlPeekLatch|SceCtrlLatch *latch_data|int
sceCtrlReadBufferNegative|SceCtrlData *pad_data, int count|int
sceCtrlReadBufferPositive|SceCtrlData *pad_data, int count|int
sceCtrlReadLatch|SceCtrlLatch *latch_data|int
sceCtrlSetSamplingCycle|int cycle|int
sceCtrlSetSamplingMode|int mode|int
sceCtrl_driver_5C56C779|int no, unsigned int mask, void (*cb)(int, int, void*), void *arg|int
sceCtrl_driver_5E77BC8A|unsigned int mask|int
sceCtrl_driver_7CA723DC|unsigned int mask, unsigned type|void
sceDisplayGetFrameBuf|void **topaddr, int *bufferwidth, int *pixelformat, int *unk1|int
sceDisplayGetMode|int *pmode, int *pwidth, int *pheight|int
sceDisplayGetVcount|void|unsigned int
sceDisplaySetFrameBuf|void *topaddr, int bufferwidth, int pixelformat, int sync|void
sceDisplaySetMode|int mode, int width, int height|int
sceDisplayWaitVblank|void|int
sceDisplayWaitVblankCB|void|int
sceDisplayWaitVblankStart|void|int
sceDisplayWaitVblankStartCB|void|int
sceDisplay_driver_5B5AEFAD|int pri, void **topaddr, int *bufferwidth, int *pixelformat, int *unk1|int
sceDisplay_driver_63E22A26|int pri, void *topaddr, int bufferwidth, int pixelformat, int sync|void
sceGeDrawSync|int syncType|int
sceGeEdramGetAddr|void|void *
sceGeEdramGetSize|void|unsigned int
sceGeGetCmd|int cmd|unsigned int 
sceGeGetMtx|int type, void *matrix|int
sceGeListDeQueue|int qid|int
sceGeListEnQueue|const void *list, void *stall, int cbid, void *arg|int
sceGeListEnQueueHead|const void *list, void *stall, int cbid, void *arg|int
sceGeListSync|int qid, int syncType|int
sceGeListUpdateStallAddr|int qid, void *stall|int
sceGeRestoreContext|const PspGeContext *context|int
sceGeSaveContext|PspGeContext *context|int
sceGeSetCallback|PspGeCallbackData *cb|int
sceGeUnsetCallback|int cbid|int
sceHprmIsHeadphoneExist|void|int
sceHprmIsMicrophoneExist|void|int
sceHprmIsRemoteExist|void|int
sceHprmPeekCurrentKey|u32 *key|int
sceHprmPeekLatch|u32 *latch|int
sceHprmReadLatch|u32 *latch|int
sceIoAddDrv|PspIoDrv *drv|int
sceIoAssign|const char *dev1, const char *dev2, const char *dev3, int mode, void* unk1, long unk2|int
sceIoCancel|SceUID fd|int
sceIoChangeAsyncPriority|SceUID fd, int pri|int
sceIoChangeThreadCwd|SceUID uid, char *dir|int
sceIoChdir|const char *path|int
sceIoChstat|const char *file, SceIoStat *stat, int bits|int
sceIoClose|SceUID fd|int
sceIoCloseAsync|SceUID fd|int
sceIoDclose|SceUID fd|int
sceIoDelDrv|const char *drv_name|int
sceIoDevctl|const char *dev, unsigned int cmd, void *indata, int inlen, void *outdata, int outlen|int
sceIoDopen|const char *dirname|SceUID
sceIoDread|SceUID fd, SceIoDirent *dir|int
sceIoGetAsyncStat|SceUID fd, int poll, SceInt64 *res|int
sceIoGetDevType|SceUID fd|int
sceIoGetThreadCwd|SceUID uid, char *dir, int len|int
sceIoGetstat|const char *file, SceIoStat *stat|int
sceIoIoctl|SceUID fd, unsigned int cmd, void *indata, int inlen, void *outdata, int outlen|int
sceIoIoctlAsync|SceUID fd, unsigned int cmd, void *indata, int inlen, void *outdata, int outlen|int
sceIoLseek|SceUID fd, SceOff offset, int whence|SceOff
sceIoLseek32|SceUID fd, int offset, int whence|int
sceIoLseek32Async|SceUID fd, int offset, int whence|int
sceIoLseekAsync|SceUID fd, SceOff offset, int whence|int
sceIoMkdir|const char *dir, SceMode mode|int
sceIoOpen|const char *file, int flags, SceMode mode|SceUID
sceIoOpenAsync|const char *file, int flags, SceMode mode|SceUID
sceIoPollAsync|SceUID fd, SceInt64 *res|int
sceIoRead|SceUID fd, void *data, SceSize size|int
sceIoReadAsync|SceUID fd, void *data, SceSize size|int
sceIoRemove|const char *file|int
sceIoRename|const char *oldname, const char *newname|int
sceIoReopen|const char *file, int flags, SceMode mode, SceUID fd|int
sceIoRmdir|const char *path|int
sceIoSetAsyncCallback|SceUID fd, SceUID cb, void *argp|int
sceIoSync|const char *device, unsigned int unk|int
sceIoUnassign|const char *dev|int
sceIoWaitAsync|SceUID fd, SceInt64 *res|int
sceIoWaitAsyncCB|SceUID fd, SceInt64 *res|int
sceIoWrite|SceUID fd, const void *data, SceSize size|int
sceIoWriteAsync|SceUID fd, const void *data, SceSize size|int
sceKernelAllocPartitionMemory|SceUID partitionid, const char *name, int type, SceSize size, void *addr|SceUID
sceKernelAllocateFpl|SceUID uid, void **data, unsigned int *timeout|int
sceKernelAllocateFplCB|SceUID uid, void **data, unsigned int *timeout|int
sceKernelAllocateKTLS|int id, int (*cb)(unsigned int *size, void *arg), void *arg|int
sceKernelAllocateVpl|SceUID uid, unsigned int size, void **data, unsigned int *timeout|int
sceKernelAllocateVplCB|SceUID uid, unsigned int size, void **data, unsigned int *timeout|int
sceKernelCancelAlarm|SceUID alarmid|int
sceKernelCancelCallback|SceUID cb|int
sceKernelCancelFpl|SceUID uid, int *pnum|int
sceKernelCancelMsgPipe|SceUID uid, int *psend, int *precv|int
sceKernelCancelReceiveMbx|SceUID mbxid, int *pnum|int
sceKernelCancelVTimerHandler|SceUID uid|int
sceKernelCancelVpl|SceUID uid, int *pnum|int
sceKernelCancelWakeupThread|SceUID thid|int
sceKernelChangeCurrentThreadAttr|int unknown, SceUInt attr|int
sceKernelChangeThreadPriority|SceUID thid, int priority|int
sceKernelCheckCallback|void|int
sceKernelCheckThreadKernelStack|void|int
sceKernelCheckThreadStack|void|int
sceKernelClearEventFlag|SceUID evid, u32 bits|int
sceKernelCpuResumeIntr|unsigned int flags|void
sceKernelCpuResumeIntrWithSync|unsigned int flags|void
sceKernelCpuSuspendIntr|void|unsigned int
sceKernelCreateCallback|const char *name, SceKernelCallbackFunction func, void *arg|int
sceKernelCreateEventFlag|const char *name, int attr, int bits, SceKernelEventFlagOptParam *opt|SceUID
sceKernelCreateFpl|const char *name, int part, int attr, unsigned int size, unsigned int blocks, struct SceKernelFplOptParam *opt|int
sceKernelCreateMbx|const char *name, SceUInt attr, SceKernelMbxOptParam *option|SceUID
sceKernelCreateMsgPipe|const char *name, int part, int attr, void *unk1, void *opt|SceUID
sceKernelCreateSema|const char *name, SceUInt attr, int initVal, int maxVal, SceKernelSemaOptParam *option|SceUID
sceKernelCreateThread|const char *name, SceKernelThreadEntry entry, int initPriority, int stackSize, SceUInt attr, SceKernelThreadOptParam *option|SceUID
sceKernelCreateVTimer|const char *name, struct SceKernelVTimerOptParam *opt|SceUID
sceKernelCreateVpl|const char *name, int part, int attr, unsigned int size, struct SceKernelVplOptParam *opt|SceUID
sceKernelDcacheInvalidateAll|void|void
sceKernelDcacheInvalidateRange|const void *p, unsigned int size|void
sceKernelDcacheProbe|void *addr|int
sceKernelDcacheWritebackAll|void|void
sceKernelDcacheWritebackInvalidateAll|void|void
sceKernelDcacheWritebackInvalidateRange|const void *p, unsigned int size|void
sceKernelDcacheWritebackRange|const void *p, unsigned int size|void
sceKernelDelaySysClockThread|SceKernelSysClock *delay|int
sceKernelDelaySysClockThreadCB|SceKernelSysClock *delay|int
sceKernelDelayThread|SceUInt delay|int
sceKernelDelayThreadCB|SceUInt delay|int
sceKernelDeleteCallback|SceUID cb|int
sceKernelDeleteEventFlag|int evid|int
sceKernelDeleteFpl|SceUID uid|int
sceKernelDeleteMbx|SceUID mbxid|int
sceKernelDeleteMsgPipe|SceUID uid|int
sceKernelDeleteSema|SceUID semaid|int
sceKernelDeleteThread|SceUID thid|int
sceKernelDeleteVTimer|SceUID uid|int
sceKernelDeleteVpl|SceUID uid|int
sceKernelDevkitVersion|void|int
sceKernelDisableIntr|int intno|int
sceKernelDisableSubIntr|int intno, int no|int
sceKernelEnableIntr|int intno|int
sceKernelEnableSubIntr|int intno, int no|int
sceKernelExitDeleteThread|int status|int
sceKernelExitGame|void|void
sceKernelExitThread|int status|int
sceKernelExtendKernelStack|int type, void (*cb)(void*), void *arg|int
sceKernelFindModuleByAddress|unsigned int addr|SceModule *
sceKernelFindModuleByName|const char *modname|SceModule *
sceKernelFindModuleByUID|SceUID modid|SceModule *
sceKernelFreeFpl|SceUID uid, void *data|int
sceKernelFreeKTLS|int id|int
sceKernelFreePartitionMemory|SceUID blockid|int
sceKernelFreeVpl|SceUID uid, void *data|int
sceKernelGetBlockHeadAddr|SceUID blockid|void *
sceKernelGetCallbackCount|SceUID cb|int
sceKernelGetDebugPutchar|void|PspDebugPutChar
sceKernelGetKTLS|int id|void *
sceKernelGetModuleIdList|SceUID *readbuf, int readbufsize, int *idcount|int
sceKernelGetModuleList|int readbufsize, SceUID *readbuf|int
sceKernelGetSyscallRA|void|unsigned int
sceKernelGetSystemStatusFlag|void|unsigned int
sceKernelGetSystemTime|SceKernelSysClock *time|int
sceKernelGetSystemTimeLow|void|unsigned int
sceKernelGetSystemTimeWide|void|SceInt64
sceKernelGetThreadCurrentPriority|void|int
sceKernelGetThreadExitStatus|SceUID thid|int
sceKernelGetThreadId|void|int
sceKernelGetThreadKTLS|int id, SceUID thid, int mode|void *
sceKernelGetThreadKernelStackFreeSize|SceUID thid|int
sceKernelGetThreadStackFreeSize|SceUID thid|int
sceKernelGetThreadmanIdList|enum SceKernelIdListType type, SceUID *readbuf, int readbufsize, int *idcount|int
sceKernelGetThreadmanIdType|SceUID uid|enum
sceKernelGetUserLevel|void|int
sceKernelGetVTimerBase|SceUID uid, SceKernelSysClock *base|int
sceKernelGetVTimerBaseWide|SceUID uid|SceInt64
sceKernelGetVTimerTime|SceUID uid, SceKernelSysClock *time|int
sceKernelGetVTimerTimeWide|SceUID uid|SceInt64
sceKernelGzipDecompress|u8 *dest, u32 destSize, const u8 *src, u32 unknown|int
sceKernelIcacheClearAll|void|void
sceKernelIcacheInvalidateAll|void|void
sceKernelIcacheInvalidateRange|const void *addr, unsigned int size|void
sceKernelIcacheProbe|const void *addr|int
sceKernelIsCpuIntrEnable|void|int
sceKernelIsCpuIntrSuspended|unsigned int flags|int
sceKernelIsIntrContext|void|int
sceKernelIsUserModeThread|void|int
sceKernelLibcClock|void|clock_t
sceKernelLibcGettimeofday|struct timeval *tp, struct timezone *tzp|int
sceKernelLibcTime|time_t *t|time_t
sceKernelLoadExec|const char *file, struct SceKernelLoadExecParam *param|int
sceKernelLoadModule|const char *path, int flags, SceKernelLMOption *option|SceUID
sceKernelLoadModuleBuffer|void *buf, SceSize bufsize, int flags, SceKernelLMOption *option|SceUID
sceKernelLoadModuleBufferUsbWlan|SceSize bufsize, void *buf, int flags, SceKernelLMOption *option|SceUID
sceKernelLoadModuleByID|SceUID fid, int flags, SceKernelLMOption *option|SceUID
sceKernelLoadModuleMs|const char *path, int flags, SceKernelLMOption *option|SceUID
sceKernelMaxFreeMemSize|void|SceSize
sceKernelModuleCount|void|int
sceKernelNotifyCallback|SceUID cb, int arg2|int
sceKernelPartitionMaxFreeMemSize|int pid|SceSize
sceKernelPartitionTotalFreeMemSize|int pid|SceSize
sceKernelPollEventFlag|int evid, u32 bits, u32 wait, u32 *outBits|int
sceKernelPollMbx|SceUID mbxid, void **pmessage|int
sceKernelPollSema|SceUID semaid, int signal|int
sceKernelQueryMemoryPartitionInfo|int pid, PspSysmemPartitionInfo *info|int
sceKernelQueryModuleInfo|SceUID modid, SceKernelModuleInfo *info|int
sceKernelReceiveMbx|SceUID mbxid, void **pmessage, SceUInt *timeout|int
sceKernelReceiveMbxCB|SceUID mbxid, void **pmessage, SceUInt *timeout|int
sceKernelReceiveMsgPipe|SceUID uid, void *message, unsigned int size, int unk1, void *unk2, unsigned int *timeout|int
sceKernelReceiveMsgPipeCB|SceUID uid, void *message, unsigned int size, int unk1, void *unk2, unsigned int *timeout|int
sceKernelReferAlarmStatus|SceUID alarmid, SceKernelAlarmInfo *info|int
sceKernelReferCallbackStatus|SceUID cb, SceKernelCallbackInfo *status|int
sceKernelReferEventFlagStatus|SceUID event, SceKernelEventFlagInfo *status|int
sceKernelReferFplStatus|SceUID uid, SceKernelFplInfo *info|int
sceKernelReferGlobalProfiler|void|PspDebugProfilerRegs *
sceKernelReferMbxStatus|SceUID mbxid, SceKernelMbxInfo *info|int
sceKernelReferMsgPipeStatus|SceUID uid, SceKernelMppInfo *info|int
sceKernelReferSemaStatus|SceUID semaid, SceKernelSemaInfo *info|int
sceKernelReferSystemStatus|SceKernelSystemStatus *status|int
sceKernelReferThreadEventHandlerStatus|SceUID uid, struct SceKernelThreadEventHandlerInfo *info|int
sceKernelReferThreadProfiler|void|PspDebugProfilerRegs *
sceKernelReferThreadRunStatus|SceUID thid, SceKernelThreadRunStatus *status|int
sceKernelReferThreadStatus|SceUID thid, SceKernelThreadInfo *info|int
sceKernelReferVTimerStatus|SceUID uid, SceKernelVTimerInfo *info|int
sceKernelReferVplStatus|SceUID uid, SceKernelVplInfo *info|int
sceKernelRegisterDebugPutchar|PspDebugPutChar func|void
sceKernelRegisterDefaultExceptionHandler|void *func|int
sceKernelRegisterExceptionHandler|int exno, void *func|int
sceKernelRegisterExitCallback|int cbid|int
sceKernelRegisterIntrHandler|int intno, int no, void *handler, void *arg1, void *arg2|int
sceKernelRegisterPriorityExceptionHandler|int exno, int priority, void *func|int
sceKernelRegisterSubIntrHandler|int intno, int no, void *handler, void *arg|int
sceKernelRegisterThreadEventHandler|const char *name, SceUID threadID, int mask, SceKernelThreadEventHandler handler, void *common|SceUID
sceKernelReleaseSubIntrHandler|int intno, int no|int
sceKernelReleaseThreadEventHandler|SceUID uid|int
sceKernelReleaseWaitThread|SceUID thid|int
sceKernelResumeDispatchThread|int state|int
sceKernelResumeThread|SceUID thid|int
sceKernelRotateThreadReadyQueue|int priority|int
sceKernelSelfStopUnloadModule|int unknown, SceSize argsize, void *argp|int
sceKernelSendMbx|SceUID mbxid, void *message|int
sceKernelSendMsgPipe|SceUID uid, void *message, unsigned int size, int unk1, void *unk2, unsigned int *timeout|int
sceKernelSendMsgPipeCB|SceUID uid, void *message, unsigned int size, int unk1, void *unk2, unsigned int *timeout|int
sceKernelSetAlarm|SceUInt clock, SceKernelAlarmHandler handler, void *common|SceUID
sceKernelSetDdrMemoryProtection|void *addr, int size, int prot|int
sceKernelSetEventFlag|SceUID evid, u32 bits|int
sceKernelSetSysClockAlarm|SceKernelSysClock *clock, SceKernelAlarmHandler handler, void *common|SceUID
